model_name,target_PFA,selected_threshold,actual_PFA,Pd,precision,F1,TN,FP,FN,TP,Euclidean_MAE_detected_target,Euclidean_RMSE_detected_target
2T2R,0.05,0.003401380986906587,0.05025927403270842,0.8030485359005215,0.9407894736842105,0.8664791170742264,2381,126,491,2002,11.795419692993164,15.04684066772461
2T2R,0.01,0.0412860079854731,0.010370961308336658,0.520657841957481,0.9803625377643505,0.6801152737752162,2481,26,1195,1298,8.100646018981934,9.696067810058594
2T1R,0.05,0.18589307963848103,0.05025927403270842,0.97352587244284,0.9506462984723855,0.9619500594530321,2381,126,66,2427,13.321967124938965,15.84521484375
2T1R,0.01,0.8357508277893071,0.010370961308336658,0.9394304051343763,0.9890202702702703,0.9635877391483233,2481,26,151,2342,13.068760871887207,15.356466293334961
1T2R,0.05,0.006278847018256782,0.05025927403270842,0.7376654632972323,0.9358778625954198,0.8250336473755047,2381,126,654,1839,13.627638816833496,18.092918395996094
1T2R,0.01,0.013360295984894067,0.010370961308336658,0.596470116325712,0.9828155981493721,0.742386420369446,2481,26,1006,1487,11.20101547241211,14.83919620513916
1T1R,0.05,0.2809721797704691,0.05025927403270842,0.600882470918572,0.9224137931034483,0.7277143551129464,2381,126,995,1498,17.276456832885742,23.017379760742188
1T1R,0.01,0.6665662968158723,0.010370961308336658,0.5483353389490574,0.9813352476669059,0.7035512094698919,2481,26,1126,1367,15.736566543579102,19.792688369750977
